"","GTEX.111VG.0526.SM.5N9BW","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11NV4.0626.SM.5N9BR","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.13NZ9.1126.SM.5MR37","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55E.0826.SM.2TC5M","GTEX.R55G.0726.SM.2TC6J","GTEX.TKQ1.0126.SM.33HB3","GTEX.YFC4.2626.SM.5P9FQ","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZYY3.1926.SM.5GZXS"
"ENSG00000261704",0,1,0,1,1,0,4,0,0,2,0,8,0,0,0,0,1,0,0,2
"ENSG00000223931",0,0,2,0,36,0,4,2,9,3,4,17,0,0,4,0,32,0,0,4
"ENSG00000260048",0,1,0,0,15,0,3,1,13,1,0,4,0,0,0,0,13,0,0,0
"ENSG00000270472",1,0,3,0,40,1,26,4,24,5,4,62,0,0,15,0,55,0,1,20
"ENSG00000230267",91,130,49,193,134,50,81,44,140,47,48,93,65,136,33,57,101,21,43,56
"ENSG00000260584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000260847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260649",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000260540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"ENSG00000260344",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205456",37,21,29,45,56,0,19,6,51,15,10,31,30,73,6,12,59,3,12,19
"ENSG00000260402",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"ENSG00000259822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261127",0,0,3,0,0,0,1,3,0,1,2,1,1,0,0,0,0,0,0,0
"ENSG00000260516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260307",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"ENSG00000260662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261233",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000259966",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"ENSG00000262187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000261569",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183632",0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"ENSG00000260974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260864",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260644",7,7,9,19,14,6,1,2,19,7,3,3,3,16,3,7,9,2,0,2
"ENSG00000260158",1,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"ENSG00000261719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259303",0,2,0,0,4,0,1,1,0,3,1,2,0,0,1,0,12,0,0,2
"ENSG00000260047",0,1,2,0,0,0,0,0,1,0,0,1,0,5,0,0,0,1,0,2
"ENSG00000214617",0,1,2,0,2,0,2,6,0,1,2,0,3,2,0,0,2,1,0,2
"ENSG00000214614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000261834",0,1,0,0,11,1,3,3,5,4,2,8,1,0,0,0,6,0,0,8
"ENSG00000270864",2,0,0,0,28,0,9,3,14,5,2,15,0,0,1,0,28,0,0,4
"ENSG00000260610",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000261259",0,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0
"ENSG00000259852",1,0,0,0,6,0,1,0,2,0,0,2,0,0,0,0,6,0,0,0
"ENSG00000233732",0,0,1,0,23,0,7,1,5,2,0,12,0,0,2,0,17,0,0,7
"ENSG00000260921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259997",0,1,0,0,4,0,4,1,3,0,1,6,0,0,1,0,10,0,0,0
"ENSG00000271130",1,0,1,0,37,0,11,4,16,6,6,11,0,0,1,0,53,0,2,18
"ENSG00000260141",4,0,2,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
"ENSG00000260900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261599",2,17,4,5,1,1,5,7,10,1,8,7,2,8,3,9,5,0,9,5
"ENSG00000261682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000260414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205457",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000260827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260626",0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0
"ENSG00000261200",11,4,9,0,11,0,2,4,7,3,3,8,2,6,0,12,22,10,2,0
"ENSG00000261466",0,3,1,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0
"ENSG00000261405",0,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,2,2,0,0
"ENSG00000263277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259882",0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1
"ENSG00000260518",8,16,4,3,16,1,6,5,9,5,9,7,0,19,1,7,15,9,2,7
"ENSG00000261580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270467",0,0,0,0,13,1,20,3,10,43,0,13,0,0,1,0,16,0,0,5
"ENSG00000261153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271178",0,6,2,0,117,1,18,10,131,2,11,40,0,0,8,0,76,0,5,9
"ENSG00000259680",5,0,0,0,26,0,4,3,10,3,3,10,1,0,0,0,23,0,0,3
"ENSG00000270924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271691",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSG00000260312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270318",1,0,1,0,7,0,4,1,2,0,0,1,0,0,0,0,14,0,0,4
"ENSG00000260525",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ENSG00000260781",7,17,6,15,3,2,24,11,8,6,4,9,16,20,4,24,6,10,9,7
"ENSG00000271620",0,0,0,0,4,0,3,4,2,0,0,5,0,0,0,0,6,0,0,2
"ENSG00000261607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259842",1,0,0,0,0,0,1,1,3,1,0,8,0,0,0,0,5,0,0,1
"ENSG00000270401",0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,1,0,0,0
"ENSG00000205452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198555",0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,1,1,0,1
"ENSG00000261217",1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0
"ENSG00000259990",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2
"ENSG00000261197",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000262561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261440",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000260087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000259987",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000260207",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000265616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"ENSG00000200434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000260854",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256579",5,3,0,5,1,2,2,4,4,1,7,4,21,4,1,13,3,9,0,0
"ENSG00000179755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000261566",0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"ENSG00000262885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216671",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260809",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"ENSG00000259979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260724",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261461",4,7,8,9,6,11,6,1,3,5,2,8,12,9,3,32,6,10,6,7
"ENSG00000261608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000260073",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"ENSG00000261398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000261274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000259897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261010",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000261752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260846",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000259841",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000260291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260812",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000260680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261299",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"ENSG00000214581",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"ENSG00000261711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000260857",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"ENSG00000269622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261046",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000260134",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000260746",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259791",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000260522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261620",0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,2,0
"ENSG00000261515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261239",0,0,9,46,89,0,4,23,108,0,16,8,2,0,2,0,84,8,4,4
"ENSG00000199448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171241",41,41,56,70,609,30,15,82,184,48,21,259,36,44,115,27,920,46,26,27
"ENSG00000261512",156,145,279,173,83,148,121,262,262,172,92,172,231,154,38,342,320,239,71,222
"ENSG00000259856",6,23,29,10,8,19,17,29,15,25,8,17,18,21,0,51,37,10,16,17
"ENSG00000260909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"ENSG00000069329",2770,4051,4636,4563,3398,3166,2843,4197,3979,5763,2952,3354,4996,3952,1065,7481,5300,6375,3109,2665
"ENSG00000261131",5,4,4,16,21,6,1,12,8,1,7,4,9,4,0,7,31,15,3,11
"ENSG00000091651",52,25,72,37,287,15,19,84,122,47,20,62,25,22,36,59,500,87,15,51
"ENSG00000261788",3,2,4,4,1,5,0,2,2,6,6,0,2,0,1,2,9,5,2,1
"ENSG00000140795",4,9,6,3,8,6,4,4,4,34,6,2,6,2,4,4,7,0,6,6
"ENSG00000260782",0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,4,1,2,0,0
"ENSG00000155330",335,286,270,448,499,274,249,323,408,472,389,350,311,207,92,573,696,515,348,319
"ENSG00000260889",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166123",726,672,2072,823,870,1585,823,1219,1298,1080,974,590,1017,971,200,4639,1068,1955,596,723
"ENSG00000069345",3018,3211,3641,4885,3810,3899,2986,2961,3455,4546,2681,3013,3490,2221,1058,7291,5364,5375,2781,2835
"ENSG00000261173",3,12,1,21,19,7,9,15,12,18,8,10,14,6,5,19,20,28,17,11
"ENSG00000259821",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171208",233,630,723,475,459,213,197,863,682,1213,542,446,448,1338,119,628,661,670,337,440
"ENSG00000238834",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000260281",2,4,0,1,0,0,1,0,2,3,1,0,2,2,0,4,2,7,3,4
"ENSG00000239840",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000129636",1927,3389,1852,3404,2357,2418,2424,3709,2415,6514,1781,2180,3089,2951,613,4738,2858,4981,2627,2015
"ENSG00000260744",0,4,0,0,2,4,4,3,3,2,2,0,0,5,1,8,9,1,2,3
"ENSG00000260012",9,4,3,2,2,2,0,2,0,3,1,0,3,2,0,0,4,0,4,4
"ENSG00000261369",0,8,0,2,3,1,2,0,7,0,1,3,2,3,0,2,3,3,0,2
"ENSG00000222767",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000102893",3726,6075,4574,8081,4782,3628,4158,6499,5605,8050,3358,4362,5727,4687,1413,10802,6547,10503,4323,4407
"ENSG00000222268",0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0
"ENSG00000262038",0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0
"ENSG00000259866",0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,2,2,0
"ENSG00000261336",0,2,1,2,0,2,0,4,0,0,0,0,5,3,2,3,0,0,0,0
"ENSG00000259918",1,7,0,0,1,1,1,5,1,2,0,1,10,4,1,8,6,5,2,1
"ENSG00000261231",0,0,0,0,11,2,0,2,0,5,0,0,0,2,2,2,2,2,2,2
"ENSG00000260497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261325",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
"ENSG00000260450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000140798",2,2,2,0,6,2,2,2,7,0,0,0,1,10,0,3,4,9,2,0
"ENSG00000261538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121270",12,6,18,3,7,4,10,1,22,6,10,15,20,29,1,4,24,16,4,18
"ENSG00000102910",5655,6766,6745,8187,4565,8294,7198,10141,7574,8039,6656,6586,10253,4911,2488,16947,12198,9298,3968,5048
"ENSG00000240793",12,7,4,14,11,16,8,10,13,2,5,4,6,8,3,10,10,2,1,3
"ENSG00000196470",984,848,755,1107,1095,701,602,869,875,988,883,524,666,502,189,1737,1066,1302,648,800
"ENSG00000265077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000239013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260347",0,2,0,0,0,0,2,0,0,0,1,2,0,0,0,0,5,0,0,0
"ENSG00000102921",2453,1993,3396,4481,3171,3123,2703,3385,3850,3659,2637,2953,2889,2594,918,6306,4467,4600,2012,1953
"ENSG00000261267",0,0,1,0,4,0,1,0,2,1,1,2,1,0,0,4,5,0,0,1
"ENSG00000243609",5,6,2,0,20,0,0,2,2,0,2,1,0,0,0,2,7,5,4,1
"ENSG00000260033",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"ENSG00000259912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260086",14,12,20,10,12,3,4,15,11,9,6,4,7,11,3,4,10,6,15,12
"ENSG00000260052",3,9,2,0,3,2,0,2,4,6,0,2,2,3,0,0,1,0,1,0
"ENSG00000272545",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000220993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000261815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000102924",142,92,90,533,62,822,250,202,276,122,83,204,164,95,54,120,475,444,99,505
"ENSG00000260614",26,34,11,11,18,23,20,30,43,20,36,28,16,16,5,17,88,41,25,44
"ENSG00000259957",2,2,4,0,0,0,0,2,8,4,8,2,2,0,0,0,8,2,2,4
"ENSG00000259839",2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,1,1
"ENSG00000260769",5,4,6,5,10,12,5,5,15,2,6,12,10,6,2,1,35,10,4,20
"ENSG00000166152",1,5,2,2,0,0,0,11,3,5,0,0,0,2,0,0,2,1,8,0
"ENSG00000262950",2,6,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"ENSG00000263110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000261623",0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,1
"ENSG00000102935",1362,1691,919,1861,530,442,804,1260,1723,1203,597,613,841,1538,243,2060,1007,691,1876,1142
"ENSG00000260089",2,2,0,2,4,2,0,0,4,0,3,0,0,0,0,4,0,2,2,5
"ENSG00000221134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265708",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000261751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
